run,arm,seed,replica_id,log_id,last_write_ms,converged_ms,convergence_ms
5,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,41271.5,41296.6,25.1
5,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,41271.5,41299.5,28.0
5,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,41271.5,41299.4,27.9
5,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,41271.5,41305.0,33.6
6,loaded-wire-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,41917.6,41953.7,36.2
6,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,41917.6,41952.5,35.0
6,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,41917.6,41952.1,34.5
6,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,41917.6,41953.5,35.9
6,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,41917.6,41948.9,31.3
7,loaded-wire-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,42571.2,42608.4,37.1
7,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,42571.2,42607.5,36.3
7,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,42571.2,42604.3,33.1
7,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,42571.2,42605.3,34.1
7,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,42571.2,42601.1,29.9
8,loaded-wire-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,43228.4,43262.4,34.0
8,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,43228.4,43260.2,31.8
8,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,43228.4,43255.9,27.5
8,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,43228.4,43254.3,25.9
8,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,43228.4,43263.4,34.9
9,loaded-wire-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,43883.9,43922.9,39.1
9,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,43883.9,43913.9,30.1
9,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,43883.9,43923.9,40.1
9,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,43883.9,43918.4,34.5
9,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,43883.9,43916.9,33.0
10,loaded-wire-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,44538.0,44575.8,37.8
10,loaded-wire-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,44538.0,44566.3,28.3
10,loaded-wire-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,44538.0,44566.4,28.5
10,loaded-wire-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,44538.0,44571.0,33.0
10,loaded-wire-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,44538.0,44571.9,33.9
