elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
36,33b44baa950d,33b44baa950d,1,4,124,128,4,0,4,3,32,c29a462a9026e220dcfe29ade9b40a8d
36,f5d6495eab40,f5d6495eab40,1,4,124,128,4,0,4,3,32,9a1ff89ae06c7bc9922ea8febc774b72
38,3e42fdfd9872,3e42fdfd9872,1,4,128,133,5,0,4,3,34,553324b42423f2402502b34c3c5d0b0b
38,c511bb7c0632,c511bb7c0632,1,4,132,136,4,0,4,3,34,eaf51d5cfe8d3086c82542c69f175aed
38,33b44baa950d,33b44baa950d,1,4,132,136,4,0,4,3,34,eaf51d5cfe8d3086c82542c69f175aed
38,f5d6495eab40,f5d6495eab40,1,4,132,136,4,0,4,3,34,eaf51d5cfe8d3086c82542c69f175aed
39,3e42fdfd9872,3e42fdfd9872,1,4,136,140,4,0,4,3,35,bc93737e682b496ea5e8d9a0d3451c34
39,c511bb7c0632,c511bb7c0632,1,4,136,140,4,0,4,3,35,bc93737e682b496ea5e8d9a0d3451c34
39,33b44baa950d,33b44baa950d,1,4,136,140,4,0,4,3,35,bc93737e682b496ea5e8d9a0d3451c34
39,f5d6495eab40,f5d6495eab40,1,4,136,140,4,0,4,3,35,bc93737e682b496ea5e8d9a0d3451c34
40,3e42fdfd9872,3e42fdfd9872,1,4,140,144,4,0,4,3,36,d61ec910e4070ed8337a8a753724b1eb
40,c511bb7c0632,c511bb7c0632,1,4,140,144,4,0,4,3,36,d61ec910e4070ed8337a8a753724b1eb
40,33b44baa950d,33b44baa950d,1,4,140,144,4,0,4,3,36,d61ec910e4070ed8337a8a753724b1eb
40,f5d6495eab40,f5d6495eab40,1,4,140,144,4,0,4,3,36,d61ec910e4070ed8337a8a753724b1eb
41,3e42fdfd9872,3e42fdfd9872,1,4,144,148,4,0,4,3,37,33ad5f9a1a1d971f1eba6ae723cca343
41,c511bb7c0632,c511bb7c0632,1,4,144,148,4,0,4,3,37,33ad5f9a1a1d971f1eba6ae723cca343
41,33b44baa950d,33b44baa950d,1,4,144,148,4,0,4,3,37,33ad5f9a1a1d971f1eba6ae723cca343
41,f5d6495eab40,f5d6495eab40,1,4,144,148,4,0,4,3,37,33ad5f9a1a1d971f1eba6ae723cca343
42,3e42fdfd9872,3e42fdfd9872,1,4,148,152,4,0,4,3,38,4dc114b08162023fa59cc796fe18f982
42,c511bb7c0632,c511bb7c0632,1,4,148,152,4,0,4,3,38,4dc114b08162023fa59cc796fe18f982
42,33b44baa950d,33b44baa950d,1,4,148,152,4,0,4,3,38,4dc114b08162023fa59cc796fe18f982
42,f5d6495eab40,f5d6495eab40,1,4,148,152,4,0,4,3,38,4dc114b08162023fa59cc796fe18f982
43,3e42fdfd9872,3e42fdfd9872,1,4,152,156,4,0,4,3,39,d00c7cc5ff0597bf2ec269d8b8a99082
43,c511bb7c0632,c511bb7c0632,1,4,152,156,4,0,4,3,39,d00c7cc5ff0597bf2ec269d8b8a99082
43,33b44baa950d,33b44baa950d,1,4,152,156,4,0,4,3,39,d00c7cc5ff0597bf2ec269d8b8a99082
43,f5d6495eab40,f5d6495eab40,1,4,152,156,4,0,4,3,39,d00c7cc5ff0597bf2ec269d8b8a99082
45,3e42fdfd9872,3e42fdfd9872,1,4,156,160,4,0,4,3,40,e84a9e89e06d4b937edb2267443d7161
45,c511bb7c0632,c511bb7c0632,1,4,156,160,4,0,4,3,40,e84a9e89e06d4b937edb2267443d7161
45,33b44baa950d,33b44baa950d,1,4,156,160,4,0,4,3,40,e84a9e89e06d4b937edb2267443d7161
45,f5d6495eab40,f5d6495eab40,1,4,156,160,4,0,4,3,40,e84a9e89e06d4b937edb2267443d7161
46,3e42fdfd9872,3e42fdfd9872,1,4,160,164,4,0,4,3,41,ded397415a242774aef8bfeb3b7064e0
46,c511bb7c0632,c511bb7c0632,1,4,160,164,4,0,4,3,41,ded397415a242774aef8bfeb3b7064e0
46,33b44baa950d,33b44baa950d,1,4,160,164,4,0,4,3,41,ded397415a242774aef8bfeb3b7064e0
46,f5d6495eab40,f5d6495eab40,1,4,160,164,4,0,4,3,41,ded397415a242774aef8bfeb3b7064e0
47,3e42fdfd9872,3e42fdfd9872,1,4,164,168,4,0,4,3,42,922ad0d58816e6014dc08439dd25295c
47,c511bb7c0632,c511bb7c0632,1,4,164,168,4,0,4,3,42,922ad0d58816e6014dc08439dd25295c
47,33b44baa950d,33b44baa950d,1,4,164,168,4,0,4,3,42,922ad0d58816e6014dc08439dd25295c
47,f5d6495eab40,f5d6495eab40,1,4,164,168,4,0,4,3,42,95dd09c04a5a4dd1d107841f56f54818
48,3e42fdfd9872,3e42fdfd9872,1,4,168,173,5,0,4,3,44,0169ef1270958c3a7faa8dfcddc3266f
48,c511bb7c0632,c511bb7c0632,1,4,172,176,4,0,4,3,44,efc74642022962ba82285b8a4b43cbaf
48,33b44baa950d,33b44baa950d,1,4,172,176,4,0,4,3,44,efc74642022962ba82285b8a4b43cbaf
48,f5d6495eab40,f5d6495eab40,1,4,172,176,4,0,4,3,44,efc74642022962ba82285b8a4b43cbaf
49,3e42fdfd9872,3e42fdfd9872,1,4,176,180,4,0,4,3,45,12ec7f3022e4f2ff71d9026d2cfeb694
49,c511bb7c0632,c511bb7c0632,1,4,176,180,4,0,4,3,45,12ec7f3022e4f2ff71d9026d2cfeb694
49,33b44baa950d,33b44baa950d,1,4,176,180,4,0,4,3,45,12ec7f3022e4f2ff71d9026d2cfeb694
49,f5d6495eab40,f5d6495eab40,1,4,176,180,4,0,4,3,45,12ec7f3022e4f2ff71d9026d2cfeb694
